src,dst,generated,served,,
0,1,"2,764",819,,
0,2,"2,749",827,,
0,3,"2,741",759,,
0,4,"2,720",691,,
0,5,"2,755",717,,
0,6,"2,792",744,,
0,7,"2,758",765,,
0,8,"2,744",715,,
0,9,"2,782",740,,
0,10,"2,777",737,,
0,11,"2,743",709,,
0,12,"2,740",697,,
0,13,"2,743",697,,
1,2,"2,751",800,,
1,3,"2,703",727,,
1,4,"2,779",772,,
1,5,"2,686",704,,
1,6,"2,764",749,,
1,7,"2,698",719,,
1,8,"2,726",707,,
1,9,"2,737",686,,
1,10,"2,755",728,,
1,11,"2,721",704,,
1,12,"2,744",705,,
1,13,"2,713",670,,
2,3,"2,712",720,,
2,4,"2,733",711,,
2,5,"2,747",758,,
2,6,"2,710",686,,
2,7,"2,815",807,,
2,8,"2,743",700,,
2,9,"2,776",730,,
2,10,"2,762",720,,
2,11,"2,727",694,,
2,12,"2,774",737,,
2,13,"2,728",696,,
3,4,"2,767",782,,
3,5,"2,702",708,,
3,6,"2,773",728,,
3,7,"2,712",704,,
3,8,"2,768",751,,
3,9,"2,743",722,,
3,10,"2,732",727,,
3,11,"2,724",703,,
3,12,"2,784",776,,
3,13,"2,712",721,,
4,5,"2,794",787,,
4,6,"2,764",775,,
4,7,"2,812",798,,
4,8,"2,746",725,,
4,9,"2,750",735,,
4,10,"2,773",731,,
4,11,"2,747",732,,
4,12,"2,718",721,,
4,13,"2,767",729,,
5,6,"2,805",775,,
5,7,"2,734",712,,
5,8,"2,755",784,,
5,9,"2,750",772,,
5,10,"2,762",787,,
5,11,"2,753",774,,
5,12,"2,717",720,,
5,13,"2,732",747,,
6,7,"2,749",770,,
6,8,"2,741",705,,
6,9,"2,741",698,,
6,10,"2,746",706,,
6,11,"2,777",742,,
6,12,"2,767",719,,
6,13,"2,745",712,,
7,8,"2,755",719,,
7,9,"2,756",722,,
7,10,"2,720",697,,
7,11,"2,715",691,,
7,12,"2,738",698,,
7,13,"2,734",710,,
8,9,"2,745",769,,
8,10,"2,719",759,,
8,11,"2,769",812,,
8,12,"2,763",806,,
8,13,"2,730",799,,
9,10,"2,746",729,,
9,11,"2,754",767,,
9,12,"2,764",764,,
9,13,"2,729",755,,
10,11,"2,768",841,,
10,12,"2,769",826,,
10,13,"2,711",776,,
11,12,"2,726",775,,
11,13,"2,730",784,,
12,13,"2,763",833,,
