src,dst,generated,served,served
0,1,671,185,1110
0,2,662,175,1050
0,3,661,174,1044
0,4,657,169,1014
0,5,658,170,1020
0,6,653,165,990
0,7,644,156,936
0,8,673,180,1080
0,9,667,176,1056
0,10,659,173,1038
0,11,664,178,1068
0,12,647,154,924
0,13,659,171,1026
0,14,655,169,1014
0,15,651,159,954
0,16,655,166,996
0,17,668,166,996
0,18,700,212,1272
0,19,674,185,1110
0,20,664,174,1044
0,21,675,178,1068
0,22,664,161,966
0,23,631,127,762
0,24,655,167,1002
0,25,666,178,1068
0,26,665,162,972
0,27,669,156,936
1,2,669,182,1092
1,3,650,163,978
1,4,670,184,1104
1,5,670,178,1068
1,6,684,185,1110
1,7,660,171,1026
1,8,671,176,1056
1,9,666,173,1038
1,10,657,170,1020
1,11,660,174,1044
1,12,656,160,960
1,13,666,178,1068
1,14,650,164,984
1,15,689,195,1170
1,16,667,170,1020
1,17,684,173,1038
1,18,651,161,966
1,19,639,149,894
1,20,662,174,1044
1,21,649,153,918
1,22,673,160,960
1,23,655,141,846
1,24,678,190,1140
1,25,675,183,1098
1,26,640,134,804
1,27,661,153,918
2,3,670,183,1098
2,4,653,167,1002
2,5,659,169,1014
2,6,667,171,1026
2,7,660,170,1020
2,8,652,164,984
2,9,658,167,1002
2,10,647,161,966
2,11,663,176,1056
2,12,671,179,1074
2,13,647,160,960
2,14,670,182,1092
2,15,648,156,936
2,16,676,175,1050
2,17,664,168,1008
2,18,643,156,936
2,19,656,169,1014
2,20,649,162,972
2,21,662,166,996
2,22,666,163,978
2,23,666,159,954
2,24,653,166,996
2,25,645,159,954
2,26,651,137,822
2,27,642,131,786
3,4,665,177,1062
3,5,638,145,870
3,6,657,161,966
3,7,643,154,924
3,8,643,153,918
3,9,649,156,936
3,10,670,181,1086
3,11,644,157,942
3,12,654,156,936
3,13,674,188,1128
3,14,642,156,936
3,15,679,187,1122
3,16,642,147,882
3,17,680,179,1074
3,18,658,171,1026
3,19,674,186,1116
3,20,650,164,984
3,21,659,162,972
3,22,664,153,918
3,23,646,130,780
3,24,645,157,942
3,25,650,160,960
3,26,659,131,786
3,27,639,123,738
4,5,645,151,906
4,6,670,181,1086
4,7,653,164,984
4,8,668,178,1068
4,9,675,184,1104
4,10,674,187,1122
4,11,662,174,1044
4,12,645,145,870
4,13,673,186,1116
4,14,672,185,1110
4,15,647,154,924
4,16,643,155,930
4,17,651,160,960
4,18,665,176,1056
4,19,647,159,954
4,20,651,162,972
4,21,680,187,1122
4,22,648,137,822
4,23,698,183,1098
4,24,661,170,1020
4,25,643,149,894
4,26,633,118,708
4,27,658,121,726
5,6,659,173,1038
