src,dst,generated,served,served
0,1,673,179,1074
0,2,679,183,1098
0,3,656,160,960
0,4,678,184,1104
0,5,672,167,1002
0,6,641,141,846
0,7,642,131,786
0,8,686,181,1086
0,9,672,169,1014
0,10,649,155,930
0,11,667,175,1050
0,12,668,164,984
0,13,664,170,1020
0,14,657,164,984
0,15,649,146,876
0,16,642,142,852
0,17,646,139,834
0,18,709,212,1272
0,19,657,156,936
0,20,653,155,930
0,21,674,175,1050
0,22,676,170,1020
0,23,652,149,894
0,24,664,173,1038
0,25,666,171,1026
0,26,653,152,912
0,27,670,166,996
1,2,674,182,1092
1,3,658,167,1002
1,4,681,186,1116
1,5,663,159,954
1,6,685,181,1086
1,7,649,142,852
1,8,669,169,1014
1,9,694,187,1122
1,10,672,178,1068
1,11,641,146,876
1,12,665,164,984
1,13,646,152,912
1,14,670,175,1050
1,15,648,148,888
1,16,662,152,912
1,17,664,162,972
1,18,652,158,948
1,19,654,156,936
1,20,668,172,1032
1,21,654,155,930
1,22,679,171,1026
1,23,656,155,930
1,24,664,165,990
1,25,654,160,960
1,26,646,142,852
1,27,654,150,900
2,3,640,148,888
2,4,665,172,1032
2,5,659,154,924
2,6,638,141,846
2,7,669,169,1014
2,8,666,160,960
2,9,653,153,918
2,10,677,185,1110
2,11,650,156,936
2,12,672,170,1020
2,13,653,161,966
2,14,654,158,948
2,15,666,163,978
2,16,662,161,966
2,17,656,148,888
2,18,667,174,1044
2,19,667,172,1032
2,20,652,158,948
2,21,668,161,966
2,22,680,177,1062
2,23,654,156,936
2,24,676,184,1104
2,25,677,182,1092
2,26,661,157,942
2,27,655,149,894
3,4,631,135,810
3,5,683,177,1062
3,6,663,163,978
3,7,664,159,954
3,8,663,161,966
3,9,670,171,1026
3,10,657,163,978
3,11,671,177,1062
3,12,661,160,960
3,13,640,145,870
3,14,650,153,918
3,15,650,142,852
3,16,655,154,924
3,17,668,168,1008
3,18,681,184,1104
3,19,685,192,1152
3,20,662,167,1002
3,21,660,160,960
3,22,636,136,816
3,23,684,178,1068
3,24,659,165,990
3,25,659,166,996
3,26,632,131,786
3,27,662,157,942
4,5,668,165,990
4,6,670,173,1038
4,7,657,157,942
4,8,630,132,792
4,9,681,180,1080
4,10,671,177,1062
4,11,651,156,936
4,12,656,153,918
4,13,665,172,1032
4,14,668,175,1050
4,15,643,146,876
4,16,683,178,1068
4,17,641,142,852
4,18,661,166,996
4,19,635,142,852
4,20,646,154,924
4,21,666,163,978
4,22,664,161,966
4,23,639,139,834
4,24,652,156,936
4,25,659,165,990
4,26,652,142,852
4,27,662,163,978
5,6,678,184,1104
5,7,652,160,960
5,8,686,192,1152
5,9,666,174,1044
5,10,634,136,816
5,11,652,151,906
5,12,667,171,1026
5,13,648,145,870
5,14,685,178,1068
5,15,673,177,1062
5,16,666,173,1038
5,17,669,174,1044
5,18,657,159,954
5,19,658,161,966
5,20,663,158,948
5,21,651,159,954
5,22,648,154,924
5,23,650,157,942
5,24,677,169,1014
5,25,659,158,948
5,26,651,157,942
5,27,654,156,936
6,7,664,169,1014
6,8,661,167,1002
6,9,652,159,954
6,10,680,180,1080
6,11,655,154,924
6,12,656,165,990
6,13,677,176,1056
6,14,689,179,1074
6,15,662,167,1002
6,16,655,160,960
6,17,648,154,924
6,18,660,155,930
6,19,664,160,960
6,20,665,156,936
6,21,661,163,978
6,22,679,182,1092
6,23,680,186,1116
6,24,657,156,936
6,25,652,147,882
6,26,666,173,1038
6,27,688,195,1170
7,8,689,191,1146
7,9,658,161,966
7,10,666,160,960
7,11,651,145,870
7,12,653,159,954
7,13,668,165,990
7,14,682,181,1086
7,15,662,165,990
7,16,650,155,930
7,17,665,171,1026
7,18,661,155,930
7,19,656,150,900
7,20,666,150,900
7,21,673,180,1080
7,22,662,165,990
7,23,678,181,1086
7,24,651,150,900
7,25,648,140,840
7,26,658,164,984
7,27,644,144,864
8,9,653,158,948
8,10,641,140,840
8,11,660,159,954
8,12,651,158,948
8,13,656,159,954
8,14,636,131,786
8,15,651,160,960
8,16,676,181,1086
8,17,660,166,996
8,18,660,160,960
8,19,668,166,996
8,20,654,148,888
8,21,669,171,1026
8,22,654,161,966
8,23,662,171,1026
8,24,645,141,846
8,25,671,162,972
8,26,681,184,1104
8,27,645,152,912
9,10,659,159,954
9,11,656,152,912
9,12,639,144,864
9,13,640,140,840
9,14,663,161,966
9,15,667,176,1056
9,16,646,148,888
9,17,674,178,1068
9,18,681,177,1062
9,19,661,152,912
9,20,667,161,966
9,21,662,164,984
9,22,673,179,1074
9,23,654,161,966
9,24,658,153,918
9,25,674,171,1026
9,26,653,159,954
9,27,661,167,1002
10,11,663,171,1026
10,12,653,158,948
10,13,654,161,966
10,14,647,155,930
10,15,631,130,780
10,16,679,174,1044
10,17,659,156,936
10,18,683,191,1146
10,19,686,190,1140
10,20,652,158,948
10,21,652,153,918
10,22,665,160,960
10,23,682,174,1044
10,24,659,166,996
10,25,650,157,942
10,26,665,162,972
10,27,652,153,918
11,12,658,157,942
11,13,663,170,1020
11,14,673,180,1080
11,15,662,164,984
11,16,672,173,1038
11,17,672,166,996
11,18,656,163,978
11,19,645,146,876
11,20,651,159,954
11,21,677,173,1038
11,22,671,171,1026
11,23,677,174,1044
11,24,659,164,984
11,25,663,166,996
11,26,668,166,996
11,27,680,175,1050
12,13,654,156,936
12,14,635,132,792
12,15,679,188,1128
12,16,644,151,906
12,17,688,196,1176
12,18,671,167,1002
12,19,661,157,942
12,20,685,181,1086
12,21,645,149,894
12,22,670,177,1062
12,23,669,172,1032
12,24,637,136,816
12,25,656,157,942
12,26,662,167,1002
12,27,656,164,984
13,14,663,170,1020
13,15,664,158,948
13,16,678,170,1020
13,17,651,153,918
13,18,676,184,1104
13,19,662,171,1026
13,20,663,171,1026
13,21,671,170,1020
13,22,654,152,912
13,23,685,183,1098
13,24,674,181,1086
13,25,676,182,1092
13,26,666,162,972
13,27,670,164,984
14,15,693,185,1110
14,16,675,171,1026
14,17,661,163,978
14,18,658,166,996
14,19,659,166,996
14,20,646,153,918
14,21,653,153,918
14,22,661,161,966
14,23,643,145,870
14,24,649,153,918
14,25,660,167,1002
14,26,670,171,1026
14,27,643,145,870
15,16,687,194,1164
15,17,684,190,1140
15,18,663,162,972
15,19,671,170,1020
15,20,650,149,894
15,21,661,163,978
15,22,667,171,1026
15,23,645,148,888
15,24,663,157,942
15,25,668,167,1002
15,26,652,160,960
15,27,661,168,1008
16,17,675,184,1104
16,18,666,163,978
16,19,657,155,930
16,20,663,162,972
16,21,671,175,1050
16,22,664,170,1020
16,23,665,171,1026
16,24,667,167,1002
16,25,665,160,960
16,26,665,169,1014
16,27,643,152,912
17,18,668,169,1014
17,19,646,142,852
17,20,658,157,942
17,21,678,184,1104
17,22,642,150,900
17,23,665,172,1032
17,24,648,148,888
17,25,679,175,1050
17,26,648,155,930
17,27,659,167,1002
18,19,655,160,960
18,20,668,174,1044
18,21,666,160,960
18,22,652,156,936
18,23,651,146,876
18,24,645,148,888
18,25,665,172,1032
18,26,665,162,972
18,27,651,147,882
19,20,644,151,906
19,21,658,153,918
19,22,662,161,966
19,23,661,158,948
19,24,667,171,1026
19,25,638,145,870
19,26,656,143,858
19,27,665,154,924
20,21,670,169,1014
20,22,649,154,924
20,23,659,161,966
20,24,639,146,876
20,25,659,167,1002
20,26,643,140,840
20,27,649,149,894
21,22,657,165,990
21,23,680,186,1116
21,24,639,139,834
21,25,643,138,828
21,26,671,178,1068
21,27,660,167,1002
22,23,661,167,1002
22,24,671,166,996
22,25,662,162,972
22,26,646,152,912
22,27,655,162,972
23,24,656,154,924
23,25,650,147,882
23,26,650,158,948
23,27,659,168,1008
24,25,659,166,996
24,26,662,158,948
24,27,667,166,996
25,26,665,163,978
25,27,664,161,966
26,27,677,185,1110
